BWV,BC,Title,Key,Date,Genre,Scoring,Notes
562,"J41
J56",Fantasia and Fugue,C minor,1730–45,"Fantasias
Fugues",For organ,Fugue incomplete
563,J43,Fantasia with Imitation,B minor,1707,Fantasias,For organ,Bach's authorship uncertain
564,J36,"Toccata, Adagio and Fugue",C major,1712?,"Toccatas
Adagios
Fugues",For organ,
565,J37,Toccata and Fugue,D minor,1708?,"Toccatas
Fugues",For organ,Bach's authorship uncertain
566,J17,Toccata and Fugue,E major,1708?,"Toccatas
Fugues",For organ,Bach's authorship uncertain; 1st version of BWV 566a
566a,J17,Toccata and Fugue,C major,1708?,"Toccatas
Fugues",For organ,Bach's authorship uncertain; 2nd version of BWV 566
567,—,Prelude,C major,—,Preludes,For organ,spurious; composed by Johann Ludwig Krebs
568,J47,Prelude,G major,1705?,Preludes,For organ,
569,J48,Prelude,A minor,1705?,Preludes,For organ,
570,J49,Fantasia,C major,1705–08?,Fantasias,For organ,
571,J82,Fantasia,G major,1720?,Fantasias,For organ,
572,J83,"Fantasia (""Pièce d'orgue"")",G major,1712?,Fantasias,For organ,
573,J50,Fantasia,C major,1722?,Fantasias,For organ,incomplete
574,J63,Fugue on a Theme by Giovanni Legrenzi (Fuge über ein Thema von Giovanni Legrenzi),C minor,1708?,Fugues,For organ,"see also BWV 574a, BWV 574b"
574a,—,Fugue on a Theme by Giovanni Legrenzi (Fuge über ein Thema von Giovanni Legrenzi),C minor,1708?,Fugues,For organ,alternative version of BWV 574
574b,—,Fugue on a Theme by Giovanni Legrenzi (Fuge über ein Thema von Giovanni Legrenzi),C minor,1708?,Fugues,For organ,alternative version of BWV 574
575,J60,Fugue,C minor,1708–17,Fugues,For organ,
576,—,Fugue,G major,—,Fugues,For organ,spurious; composer unidentified
577,J61,Fugue,G major,?,Fugues,For organ,
578,J66,"Fugue (""Little"")",G minor,1707?,Fugues,For organ,
579,J68,Fugue on a Theme by Corelli (Fuge über ein Thema von Corelli),B minor,1710?,Fugues,For organ,
580,J65,Fugue,D major,—,Fugues,For organ,Bach's authorship uncertain
581,—,Fugue,G major,—,Fugues,For organ,spurious; composed by Gottfried August Homilius
582,J79,Passacaglia,C minor,1708–12?,Passacaglias,For organ,
